|film_id|title                    |category   |rating|fullname             |rental_frequency|total_amount|last_update|
|643    |ORIENT CLOSER            |Drama      |R     |THELMA MURRAY        |1               |11.98       |2006-02-15 |
|961    |WASH HEAVENLY            |Foreign    |R     |EDITH MCDONALD       |1               |11.98       |2006-02-15 |
|973    |WIFE TURN                |Documentary|NC-17 |GEORGE LINTON        |1               |11.98       |2006-02-15 |
|985    |WONDERLAND CHRISTMAS     |Sci-Fi     |PG    |MELVIN ELLINGTON     |1               |11.98       |2006-02-15 |
|103    |BUCKET BROTHERHOOD       |Travel     |PG    |ANA BRADLEY          |1               |11.98       |2006-02-15 |
|141    |CHICAGO NORTH            |Games      |PG-13 |ALVIN DELOACH        |1               |11.98       |2006-02-15 |
|21     |AMERICAN CIRCUS          |Action     |R     |DAVID ROYAL          |1               |10.99       |2006-02-15 |
|21     |AMERICAN CIRCUS          |Action     |R     |ELEANOR HUNT         |1               |10.99       |2006-02-15 |
|21     |AMERICAN CIRCUS          |Action     |R     |JULIO NOLAND         |1               |10.99       |2006-02-15 |
|21     |AMERICAN CIRCUS          |Action     |R     |TIM CARY             |1               |10.99       |2006-02-15 |
|46     |AUTUMN CROW              |Games      |G     |DAN PAINE            |1               |10.99       |2006-02-15 |
|48     |BACKLASH UNDEFEATED      |Children   |PG-13 |TERRI VASQUEZ        |1               |10.99       |2006-02-15 |
|60     |BEAST HUNCHBACK          |Classics   |R     |BENJAMIN VARNEY      |1               |10.99       |2006-02-15 |
|60     |BEAST HUNCHBACK          |Classics   |R     |STANLEY SCROGGINS    |1               |10.99       |2006-02-15 |
|65     |BEHAVIOR RUNAWAY         |Horror     |PG    |BOB PFEIFFER         |1               |10.99       |2006-02-15 |
|65     |BEHAVIOR RUNAWAY         |Horror     |PG    |ELMER NOE            |1               |10.99       |2006-02-15 |
|71     |BILKO ANONYMOUS          |Family     |PG-13 |DAN PAINE            |1               |10.99       |2006-02-15 |
|71     |BILKO ANONYMOUS          |Family     |PG-13 |ERIK GUILLEN         |1               |10.99       |2006-02-15 |
|71     |BILKO ANONYMOUS          |Family     |PG-13 |JOSEPH JOY           |1               |10.99       |2006-02-15 |
|71     |BILKO ANONYMOUS          |Family     |PG-13 |TERESA ROGERS        |1               |10.99       |2006-02-15 |
|98     |BRIGHT ENCOUNTERS        |Drama      |PG-13 |VINCENT RALSTON      |1               |10.99       |2006-02-15 |
|120    |CARIBBEAN LIBERTY        |Sports     |NC-17 |BILL GAVIN           |1               |10.99       |2006-02-15 |
|120    |CARIBBEAN LIBERTY        |Sports     |NC-17 |BILLY POULIN         |1               |10.99       |2006-02-15 |
|120    |CARIBBEAN LIBERTY        |Sports     |NC-17 |LENA JENSEN          |1               |10.99       |2006-02-15 |
|126    |CASUALTIES ENCINO        |Action     |G     |BRANDY GRAVES        |1               |10.99       |2006-02-15 |
|126    |CASUALTIES ENCINO        |Action     |G     |LINDA WILLIAMS       |1               |10.99       |2006-02-15 |
|214    |DAUGHTER MADIGAN         |Children   |PG-13 |OLGA JIMENEZ         |1               |10.99       |2006-02-15 |
|243    |DOORS PRESIDENT          |Animation  |NC-17 |GUY BROWNLEE         |1               |10.99       |2006-02-15 |
|778    |SECRETS PARADISE         |Family     |G     |KAY CALDWELL         |1               |10.99       |2006-02-15 |
|791    |SHOW LORD                |Documentary|PG-13 |CURTIS IRBY          |1               |10.99       |2006-02-15 |
|846    |STING PERSONAL           |New        |NC-17 |JAMIE WAUGH          |1               |10.99       |2006-02-15 |
|846    |STING PERSONAL           |New        |NC-17 |WESLEY BULL          |1               |10.99       |2006-02-15 |
|853    |STRANGER STRANGERS       |Children   |G     |SIDNEY BURLESON      |1               |10.99       |2006-02-15 |
|861    |SUIT WALLS               |Games      |R     |REGINA BERRY         |1               |10.99       |2006-02-15 |
|861    |SUIT WALLS               |Games      |R     |RYAN SALISBURY       |1               |10.99       |2006-02-15 |
|865    |SUNRISE LEAGUE           |Animation  |PG-13 |HERMAN DEVORE        |1               |10.99       |2006-02-15 |
|865    |SUNRISE LEAGUE           |Animation  |PG-13 |JOSHUA MARK          |1               |10.99       |2006-02-15 |
|878    |TEEN APOLLO              |Travel     |G     |CARRIE PORTER        |1               |10.99       |2006-02-15 |
|878    |TEEN APOLLO              |Travel     |G     |JOHN FARNSWORTH      |1               |10.99       |2006-02-15 |
|878    |TEEN APOLLO              |Travel     |G     |PATRICIA JOHNSON     |1               |10.99       |2006-02-15 |
|879    |TELEGRAPH VOYAGE         |Music      |PG    |BRITTANY RILEY       |1               |10.99       |2006-02-15 |
|879    |TELEGRAPH VOYAGE         |Music      |PG    |CHRISTY VARGAS       |1               |10.99       |2006-02-15 |
|879    |TELEGRAPH VOYAGE         |Music      |PG    |DON BONE             |1               |10.99       |2006-02-15 |
|879    |TELEGRAPH VOYAGE         |Music      |PG    |ERIC ROBERT          |1               |10.99       |2006-02-15 |
|879    |TELEGRAPH VOYAGE         |Music      |PG    |LONNIE TIRADO        |1               |10.99       |2006-02-15 |
|879    |TELEGRAPH VOYAGE         |Music      |PG    |WALLACE SLONE        |1               |10.99       |2006-02-15 |
|892    |TITANIC BOONDOCK         |Animation  |R     |ADAM GOOCH           |1               |10.99       |2006-02-15 |
|892    |TITANIC BOONDOCK         |Animation  |R     |CARL ARTIS           |1               |10.99       |2006-02-15 |
|897    |TORQUE BOUND             |Drama      |G     |ANITA MORALES        |1               |10.99       |2006-02-15 |
|897    |TORQUE BOUND             |Drama      |G     |HOWARD FORTNER       |1               |10.99       |2006-02-15 |
|897    |TORQUE BOUND             |Drama      |G     |MISTY LAMBERT        |1               |10.99       |2006-02-15 |
|897    |TORQUE BOUND             |Drama      |G     |TARA RYAN            |1               |10.99       |2006-02-15 |
|908    |TRAP GUYS                |Foreign    |G     |MICHELLE CLARK       |1               |10.99       |2006-02-15 |
|908    |TRAP GUYS                |Foreign    |G     |TOMMY COLLAZO        |1               |10.99       |2006-02-15 |
|919    |TYCOON GATHERING         |Games      |G     |ALFREDO MCADAMS      |1               |10.99       |2006-02-15 |
|919    |TYCOON GATHERING         |Games      |G     |ALMA AUSTIN          |1               |10.99       |2006-02-15 |
|919    |TYCOON GATHERING         |Games      |G     |CODY NOLEN           |1               |10.99       |2006-02-15 |
|919    |TYCOON GATHERING         |Games      |G     |CONSTANCE REID       |1               |10.99       |2006-02-15 |
|321    |FLASH WARS               |New        |NC-17 |JEFF EAST            |1               |10.99       |2006-02-15 |
|324    |FLINTSTONES HAPPINESS    |Comedy     |PG-13 |ANDREW PURDY         |1               |10.99       |2006-02-15 |
|324    |FLINTSTONES HAPPINESS    |Comedy     |PG-13 |ANNA HILL            |1               |10.99       |2006-02-15 |
|324    |FLINTSTONES HAPPINESS    |Comedy     |PG-13 |TOMMY COLLAZO        |1               |10.99       |2006-02-15 |
|327    |FOOL MOCKINGBIRD         |Action     |PG    |GORDON ALLARD        |1               |10.99       |2006-02-15 |
|327    |FOOL MOCKINGBIRD         |Action     |PG    |KARL SEAL            |1               |10.99       |2006-02-15 |
|327    |FOOL MOCKINGBIRD         |Action     |PG    |WANDA PATTERSON      |1               |10.99       |2006-02-15 |
|350    |GARDEN ISLAND            |Sci-Fi     |G     |JAIME NETTLES        |1               |10.99       |2006-02-15 |
|444    |HUSTLER PARTY            |Comedy     |NC-17 |COURTNEY DAY         |1               |10.99       |2006-02-15 |
|444    |HUSTLER PARTY            |Comedy     |NC-17 |EVA RAMOS            |1               |10.99       |2006-02-15 |
|444    |HUSTLER PARTY            |Comedy     |NC-17 |MIGUEL BETANCOURT    |1               |10.99       |2006-02-15 |
|460    |INNOCENT USUAL           |Foreign    |PG-13 |BRADLEY MOTLEY       |1               |10.99       |2006-02-15 |
|460    |INNOCENT USUAL           |Foreign    |PG-13 |LEON BOSTIC          |1               |10.99       |2006-02-15 |
|946    |VIRTUAL SPOILERS         |Family     |NC-17 |BESSIE MORRISON      |1               |10.99       |2006-02-15 |
|946    |VIRTUAL SPOILERS         |Family     |NC-17 |GUY BROWNLEE         |1               |10.99       |2006-02-15 |
|946    |VIRTUAL SPOILERS         |Family     |NC-17 |IRENE PRICE          |1               |10.99       |2006-02-15 |
|973    |WIFE TURN                |Documentary|NC-17 |JANET PHILLIPS       |1               |10.99       |2006-02-15 |
|973    |WIFE TURN                |Documentary|NC-17 |ROBERT BAUGHMAN      |1               |10.99       |2006-02-15 |
|973    |WIFE TURN                |Documentary|NC-17 |SHERRI RHODES        |1               |10.99       |2006-02-15 |
|985    |WONDERLAND CHRISTMAS     |Sci-Fi     |PG    |GORDON ALLARD        |1               |10.99       |2006-02-15 |
|1,000  |ZORRO ARK                |Comedy     |NC-17 |MARIO CHEATHAM       |1               |10.99       |2006-02-15 |
|470    |ISHTAR ROCKETEER         |Animation  |R     |EDDIE TOMLIN         |1               |10.99       |2006-02-15 |
|499    |KING EVOLUTION           |Family     |NC-17 |IAN STILL            |1               |10.99       |2006-02-15 |
|499    |KING EVOLUTION           |Family     |NC-17 |MITCHELL WESTMORELAND|1               |10.99       |2006-02-15 |
|501    |KISSING DOLLS            |Action     |R     |CATHY SPENCER        |1               |10.99       |2006-02-15 |
|501    |KISSING DOLLS            |Action     |R     |LORI WOOD            |1               |10.99       |2006-02-15 |
|501    |KISSING DOLLS            |Action     |R     |RITA GRAHAM          |1               |10.99       |2006-02-15 |
|501    |KISSING DOLLS            |Action     |R     |VIOLET RODRIQUEZ     |1               |10.99       |2006-02-15 |
|551    |MAIDEN HOME              |New        |PG    |BRADLEY MOTLEY       |1               |10.99       |2006-02-15 |
|551    |MAIDEN HOME              |New        |PG    |GRACE ELLIS          |1               |10.99       |2006-02-15 |
|575    |MIDSUMMER GROUNDHOG      |Documentary|G     |DIANE COLLINS        |1               |10.99       |2006-02-15 |
|579    |MINDS TRUMAN             |Action     |PG-13 |CRAIG MORRELL        |1               |10.99       |2006-02-15 |
|579    |MINDS TRUMAN             |Action     |PG-13 |ELEANOR HUNT         |1               |10.99       |2006-02-15 |
|580    |MINE TITANS              |New        |PG-13 |CHARLENE ALVAREZ     |1               |10.99       |2006-02-15 |
|580    |MINE TITANS              |New        |PG-13 |JOHNNIE CHISHOLM     |1               |10.99       |2006-02-15 |
|580    |MINE TITANS              |New        |PG-13 |JOYCE EDWARDS        |1               |10.99       |2006-02-15 |
|580    |MINE TITANS              |New        |PG-13 |TERRENCE GUNDERSON   |1               |10.99       |2006-02-15 |
|624    |NIGHTMARE CHILL          |Games      |PG    |JACOB LANCE          |1               |10.99       |2006-02-15 |
|653    |PANIC CLUB               |Horror     |G     |JACQUELINE LONG      |1               |10.99       |2006-02-15 |
|662    |PATHS CONTROL            |Drama      |PG    |NANCY THOMAS         |1               |10.99       |2006-02-15 |
|680    |PINOCCHIO SIMON          |Comedy     |PG    |ANGELA HERNANDEZ     |1               |10.99       |2006-02-15 |
|715    |RANGE MOONWALKER         |Family     |PG    |ELAINE STEVENS       |1               |10.99       |2006-02-15 |
|715    |RANGE MOONWALKER         |Family     |PG    |WILMA RICHARDS       |1               |10.99       |2006-02-15 |
|763    |SATISFACTION CONFIDENTIAL|Sports     |G     |CHESTER BENNER       |1               |10.99       |2006-02-15 |
|764    |SATURDAY LAMBS           |Sports     |G     |BYRON BOX            |1               |10.99       |2006-02-15 |
|764    |SATURDAY LAMBS           |Sports     |G     |JEANNE LAWSON        |1               |10.99       |2006-02-15 |
|764    |SATURDAY LAMBS           |Sports     |G     |JIMMIE EGGLESTON     |1               |10.99       |2006-02-15 |
|764    |SATURDAY LAMBS           |Sports     |G     |RUSSELL BRINSON      |1               |10.99       |2006-02-15 |
|764    |SATURDAY LAMBS           |Sports     |G     |VALERIE BLACK        |1               |10.99       |2006-02-15 |
|698    |PRINCESS GIANT           |Documentary|NC-17 |EMILY DIAZ           |1               |10.98       |2006-02-15 |
|803    |SLACKER LIAISONS         |Drama      |R     |KENT ARSENAULT       |1               |10.98       |2006-02-15 |
|893    |TITANS JERK              |Sci-Fi     |PG    |KEVIN SCHULER        |1               |10.98       |2006-02-15 |
|911    |TRIP NEWTON              |Action     |PG-13 |DARYL LARUE          |1               |10.98       |2006-02-15 |
|86     |BOOGIE AMELIE            |Music      |R     |ADRIAN CLARY         |1               |10.98       |2006-02-15 |
|115    |CAMPUS REMEMBER          |Action     |R     |BECKY MILES          |1               |10.98       |2006-02-15 |
|131    |CENTER DINOSAUR          |Classics   |PG    |HUGH WALDROP         |1               |10.98       |2006-02-15 |
|165    |COLDBLOODED DARLING      |Sci-Fi     |G     |STEVEN CURLEY        |1               |10.98       |2006-02-15 |
|170    |COMMAND DARLING          |Foreign    |PG-13 |CLAUDIA FULLER       |1               |10.98       |2006-02-15 |
|307    |FELLOWSHIP AUTUMN        |Travel     |NC-17 |FRANCES PARKER       |1               |10.98       |2006-02-15 |
|486    |JET NEIGHBORS            |Foreign    |R     |JOE GILLILAND        |1               |10.98       |2006-02-15 |
|518    |LIAISONS SWEET           |Travel     |PG    |JIMMIE EGGLESTON     |1               |10.98       |2006-02-15 |
|563    |MASSACRE USUAL           |Games      |R     |BARRY LOVELACE       |1               |10.98       |2006-02-15 |
|568    |MEMENTO ZOOLANDER        |Comedy     |NC-17 |MICHAEL SILVERMAN    |1               |10.98       |2006-02-15 |
|326    |FLYING HOOK              |Animation  |NC-17 |ALMA AUSTIN          |1               |10.98       |2006-02-15 |
|953    |WAIT CIDER               |Animation  |PG-13 |TERESA ROGERS        |1               |10.98       |2006-02-15 |
|933    |VAMPIRE WHALE            |New        |NC-17 |BRIAN WYMAN          |1               |9.99        |2006-02-15 |
|938    |VELVET TERMINATOR        |Comedy     |R     |KYLE SPURLOCK        |1               |9.99        |2006-02-15 |
|938    |VELVET TERMINATOR        |Comedy     |R     |MAE FLETCHER         |1               |9.99        |2006-02-15 |
|938    |VELVET TERMINATOR        |Comedy     |R     |RICARDO MEADOR       |1               |9.99        |2006-02-15 |
|941    |VIDEOTAPE ARSENIC        |Games      |NC-17 |BERNARD COLBY        |1               |9.99        |2006-02-15 |
|941    |VIDEOTAPE ARSENIC        |Games      |NC-17 |BETTY WHITE          |1               |9.99        |2006-02-15 |
|946    |VIRTUAL SPOILERS         |Family     |NC-17 |DERRICK BOURQUE      |1               |9.99        |2006-02-15 |
|946    |VIRTUAL SPOILERS         |Family     |NC-17 |MILTON HOWLAND       |1               |9.99        |2006-02-15 |
|946    |VIRTUAL SPOILERS         |Family     |NC-17 |STACY CUNNINGHAM     |1               |9.99        |2006-02-15 |
|964    |WATERFRONT DELIVERANCE   |Action     |G     |PEDRO CHESTNUT       |1               |9.99        |2006-02-15 |
|964    |WATERFRONT DELIVERANCE   |Action     |G     |YOLANDA WEAVER       |1               |9.99        |2006-02-15 |
|969    |WEST LION                |Drama      |G     |MIRIAM MCKINNEY      |1               |9.99        |2006-02-15 |
|969    |WEST LION                |Drama      |G     |VINCENT RALSTON      |1               |9.99        |2006-02-15 |
|971    |WHALE BIKINI             |Foreign    |PG-13 |DALE RATCLIFF        |1               |9.99        |2006-02-15 |
|971    |WHALE BIKINI             |Foreign    |PG-13 |WESLEY BULL          |1               |9.99        |2006-02-15 |
|973    |WIFE TURN                |Documentary|NC-17 |AMY LOPEZ            |1               |9.99        |2006-02-15 |
|980    |WIZARD COLDBLOODED       |Music      |PG    |LONNIE TIRADO        |1               |9.99        |2006-02-15 |
|985    |WONDERLAND CHRISTMAS     |Sci-Fi     |PG    |ALEXANDER FENNELL    |1               |9.99        |2006-02-15 |
|985    |WONDERLAND CHRISTMAS     |Sci-Fi     |PG    |BEN EASTER           |1               |9.99        |2006-02-15 |
|985    |WONDERLAND CHRISTMAS     |Sci-Fi     |PG    |KENT ARSENAULT       |1               |9.99        |2006-02-15 |
|989    |WORKING MICROCOSMOS      |Travel     |R     |DANIELLE DANIELS     |1               |9.99        |2006-02-15 |
|989    |WORKING MICROCOSMOS      |Travel     |R     |VICTOR BARKLEY       |1               |9.99        |2006-02-15 |
|1,000  |ZORRO ARK                |Comedy     |NC-17 |LARRY THRASHER       |1               |9.99        |2006-02-15 |
|1,000  |ZORRO ARK                |Comedy     |NC-17 |MARGIE WADE          |1               |9.99        |2006-02-15 |
|1,000  |ZORRO ARK                |Comedy     |NC-17 |MAUREEN LITTLE       |1               |9.99        |2006-02-15 |
|1,000  |ZORRO ARK                |Comedy     |NC-17 |PAMELA BAKER         |1               |9.99        |2006-02-15 |
|1,000  |ZORRO ARK                |Comedy     |NC-17 |SYLVIA ORTIZ         |1               |9.99        |2006-02-15 |
|1,000  |ZORRO ARK                |Comedy     |NC-17 |TOMMY COLLAZO        |1               |9.99        |2006-02-15 |
|2      |ACE GOLDFINGER           |Horror     |G     |AMBER DIXON          |1               |9.99        |2006-02-15 |
|2      |ACE GOLDFINGER           |Horror     |G     |KATHRYN COLEMAN      |1               |9.99        |2006-02-15 |
|13     |ALI FOREVER              |Horror     |PG    |WESLEY BULL          |1               |9.99        |2006-02-15 |
|20     |AMELIE HELLFIGHTERS      |Music      |R     |CODY NOLEN           |1               |9.99        |2006-02-15 |
|20     |AMELIE HELLFIGHTERS      |Music      |R     |DAWN SULLIVAN        |1               |9.99        |2006-02-15 |
|21     |AMERICAN CIRCUS          |Action     |R     |CLAUDE HERZOG        |1               |9.99        |2006-02-15 |
|21     |AMERICAN CIRCUS          |Action     |R     |SYLVIA ORTIZ         |1               |9.99        |2006-02-15 |
|46     |AUTUMN CROW              |Games      |G     |ALICE STEWART        |1               |9.99        |2006-02-15 |
|46     |AUTUMN CROW              |Games      |G     |JEANNE LAWSON        |1               |9.99        |2006-02-15 |
|46     |AUTUMN CROW              |Games      |G     |KATHERINE RIVERA     |1               |9.99        |2006-02-15 |
|46     |AUTUMN CROW              |Games      |G     |TERRI VASQUEZ        |1               |9.99        |2006-02-15 |
|48     |BACKLASH UNDEFEATED      |Children   |PG-13 |ALVIN DELOACH        |1               |9.99        |2006-02-15 |
|48     |BACKLASH UNDEFEATED      |Children   |PG-13 |CECIL VINES          |1               |9.99        |2006-02-15 |
|48     |BACKLASH UNDEFEATED      |Children   |PG-13 |GEORGIA JACOBS       |1               |9.99        |2006-02-15 |
|48     |BACKLASH UNDEFEATED      |Children   |PG-13 |JOSEPHINE GOMEZ      |1               |9.99        |2006-02-15 |
|48     |BACKLASH UNDEFEATED      |Children   |PG-13 |PAUL TROUT           |1               |9.99        |2006-02-15 |
|48     |BACKLASH UNDEFEATED      |Children   |PG-13 |TRACY HERRMANN       |1               |9.99        |2006-02-15 |
|48     |BACKLASH UNDEFEATED      |Children   |PG-13 |WILMA RICHARDS       |1               |9.99        |2006-02-15 |
|65     |BEHAVIOR RUNAWAY         |Horror     |PG    |ARNOLD HAVENS        |1               |9.99        |2006-02-15 |
|65     |BEHAVIOR RUNAWAY         |Horror     |PG    |FRANCISCO SKIDMORE   |1               |9.99        |2006-02-15 |
|74     |BIRCH ANTITRUST          |Music      |PG    |CYNTHIA YOUNG        |1               |9.99        |2006-02-15 |
|93     |BRANNIGAN SUNRISE        |New        |PG    |EVELYN MORGAN        |1               |9.99        |2006-02-15 |
|98     |BRIGHT ENCOUNTERS        |Drama      |PG-13 |LESTER KRAUS         |1               |9.99        |2006-02-15 |
|102    |BUBBLE GROSSE            |Sports     |R     |MICHEAL FORMAN       |1               |9.99        |2006-02-15 |
|112    |CALENDAR GUNFIGHT        |Foreign    |NC-17 |LAURA RODRIGUEZ      |1               |9.99        |2006-02-15 |
|112    |CALENDAR GUNFIGHT        |Foreign    |NC-17 |LESLIE SEWARD        |1               |9.99        |2006-02-15 |
|112    |CALENDAR GUNFIGHT        |Foreign    |NC-17 |PERRY SWAFFORD       |1               |9.99        |2006-02-15 |
|126    |CASUALTIES ENCINO        |Action     |G     |CHARLIE BESS         |1               |9.99        |2006-02-15 |
|126    |CASUALTIES ENCINO        |Action     |G     |ROBERTO VU           |1               |9.99        |2006-02-15 |
|127    |CAT CONEHEADS            |Comedy     |G     |MARSHALL THORN       |1               |9.99        |2006-02-15 |
|134    |CHAMPION FLATLINERS      |Animation  |PG    |BECKY MILES          |1               |9.99        |2006-02-15 |
|624    |NIGHTMARE CHILL          |Games      |PG    |STEPHANIE MITCHELL   |1               |9.99        |2006-02-15 |
|654    |PANKY SUBMARINE          |Games      |G     |MONICA HICKS         |1               |9.99        |2006-02-15 |
|659    |PARK CITIZEN             |Action     |PG-13 |ROY WHITING          |1               |9.99        |2006-02-15 |
|662    |PATHS CONTROL            |Drama      |PG    |LESLIE SEWARD        |1               |9.99        |2006-02-15 |
|662    |PATHS CONTROL            |Drama      |PG    |LISA ANDERSON        |1               |9.99        |2006-02-15 |
|666    |PAYCHECK WAIT            |Drama      |PG-13 |BRETT CORNWELL       |1               |9.99        |2006-02-15 |
|666    |PAYCHECK WAIT            |Drama      |PG-13 |JORDAN ARCHULETA     |1               |9.99        |2006-02-15 |
|667    |PEACH INNOCENT           |Sports     |PG-13 |WILLIE MARKHAM       |1               |9.99        |2006-02-15 |
|670    |PELICAN COMFORTS         |Documentary|PG    |CHRIS BROTHERS       |1               |9.99        |2006-02-15 |
|670    |PELICAN COMFORTS         |Documentary|PG    |ERNEST STEPP         |1               |9.99        |2006-02-15 |
|670    |PELICAN COMFORTS         |Documentary|PG    |RONALD WEINER        |1               |9.99        |2006-02-15 |
|670    |PELICAN COMFORTS         |Documentary|PG    |TERRANCE ROUSH       |1               |9.99        |2006-02-15 |
|670    |PELICAN COMFORTS         |Documentary|PG    |TIM CARY             |1               |9.99        |2006-02-15 |
|680    |PINOCCHIO SIMON          |Comedy     |PG    |MIRIAM MCKINNEY      |1               |9.99        |2006-02-15 |
|682    |PITTSBURGH HUNCHBACK     |Family     |PG-13 |LEAH CURTIS          |1               |9.99        |2006-02-15 |
|682    |PITTSBURGH HUNCHBACK     |Family     |PG-13 |MARION SNYDER        |1               |9.99        |2006-02-15 |
|708    |QUILLS BULL              |Documentary|R     |ALFRED CASILLAS      |1               |9.99        |2006-02-15 |
|708    |QUILLS BULL              |Documentary|R     |GLADYS HAMILTON      |1               |9.99        |2006-02-15 |
|710    |RAGE GAMES               |Family     |R     |MARSHALL THORN       |1               |9.99        |2006-02-15 |
|711    |RAGING AIRPLANE          |Sci-Fi     |R     |TONYA CHAPMAN        |1               |9.99        |2006-02-15 |
